name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Morávka,16742,Valid,H5,633,Fell,2000,49.6,18.53333,"(49.600000, 18.533330)"
Tagish Lake,23782,Valid,C2-ung,10000,Fell,2000,59.70444,-134.20139,"(59.704440, -134.201390)"
Yafa,24351,Valid,H5,5700,Fell,2000,13.71111,45.17,"(13.711110, 45.170000)"
Agoudal,57354,Valid,"Iron, IIAB",100000,Found,2000,31.98457,-5.51528,"(31.984570, -5.515280)"
Agoult,395,Valid,Eucrite,82,Found,2000,30.55,-4.9,"(30.550000, -4.900000)"
Al Huqf 001,434,Valid,L4,41.5,Found,2000,19.42,57.18833,"(19.420000, 57.188330)"
Al Huqf 002,435,Valid,H5,81.4,Found,2000,19.27167,57.38667,"(19.271670, 57.386670)"
Allan Hills 99101,1300,Valid,LL3,103.4,Found,2000,-76.76098,159.45252,"(-76.760980, 159.452520)"
Aoufous,2314,Valid,Eucrite-mmict,195,Found,2000,31.66667,-4.06667,"(31.666670, -4.066670)"
Bates Nunataks 00300,4958,Valid,Eucrite-unbr,124.6,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00301,4959,Valid,H3.3,33.8,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00302,4960,Valid,H3.3,37.1,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00303,4961,Valid,H3.3,15.8,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00304,4962,Valid,L6,709,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00305,4963,Valid,H5,316.4,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00306,4964,Valid,L5,66.95,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00307,4965,Valid,H6,130.05,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00308,4966,Valid,L5,10.7,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00309,4967,Valid,L5,24.1,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bates Nunataks 00310,4968,Valid,LL6,20.61,Found,2000,-80.25,153.5,"(-80.250000, 153.500000)"
Bluewing 001,5079,Valid,Eucrite-mmict,6.1,Found,2000,40.2495,-118.93683,"(40.249500, -118.936830)"
